Item.no,Prefix
1,proti
2,duh
3,duh
4,proti
5,proti
6,proti
7,duh
8,duh
9,duh
10,duh
11,proti
12,duh
13,duh
14,proti
15,duh
16,proti
17,duh
18,duh
19,proti
20,proti
21,proti
22,proti
23,duh
24,proti
25,duh
26,proti
27,proti
28,duh
29,duh
30,duh
31,proti
32,proti
33,duh
34,proti
35,duh
36,proti
37,proti
38,proti
39,proti
40,proti
41,duh
42,duh
43,proti
44,proti
45,duh
46,proti
47,proti
48,proti
49,proti
50,duh
51,proti
52,duh
53,duh
54,duh
55,duh
56,duh
57,proti
58,duh
59,duh
60,duh
61,proti
62,duh
63,proti
64,proti
65,duh
66,duh
67,duh
68,proti
69,proti
70,duh
71,duh
72,proti
73,duh
74,proti
75,duh
76,proti
77,fill
78,fill
79,fill
80,fill
81,fill
82,fill
83,fill
84,fill
85,fill
86,fill
87,fill
88,fill
89,fill
90,fill
91,fill
92,fill
93,fill
94,fill
95,fill
96,fill
97,fill
98,fill
99,fill
100,fill
101,fill
102,fill
103,fill
104,fill
105,fill
106,fill
107,fill
108,fill
109,fill
110,fill
111,fill
112,fill
113,fill
114,fill
115,fill
116,fill
117,fill
118,fill
119,fill
120,fill
121,fill
122,fill
123,fill
124,fill
125,fill
126,fill
127,fill
128,fill
129,fill
130,fill
131,fill
132,fill
133,fill
134,fill
135,fill
136,fill
137,fill
138,fill
139,fill
140,fill
141,fill
142,fill
143,fill
144,fill
145,fill
146,fill
147,fill
148,fill
149,fill
150,fill
151,fill
152,fill
153,fill
154,fill
155,fill
156,fill
157,fill
158,fill
159,fill
160,fill
161,fill
162,fill
163,fill
164,fill
165,fill
166,fill
167,fill
168,fill
169,duh
170,duh
171,proti
172,proti
173,proti
174,duh
175,duh
176,proti
177,proti
178,duh
179,duh
180,proti
181,duh
182,proti
183,duh
184,proti
185,proti
186,duh
187,proti
188,proti
189,duh
190,proti
191,proti
192,proti
193,duh
194,proti
195,proti
196,proti
197,duh
198,proti
199,proti
200,proti
201,duh
202,duh
203,duh
204,duh
205,proti
206,proti
207,proti
208,proti
209,duh
210,duh
211,duh
212,duh
213,duh
214,duh
215,proti
216,proti
217,proti
218,proti
219,proti
220,proti
221,duh
222,proti
223,proti
224,proti
225,duh
226,duh
227,duh
228,proti
229,duh
230,proti
231,proti
232,duh
233,duh
234,duh
235,proti
236,proti
237,duh
238,proti
239,duh
240,proti
241,proti
242,proti
243,proti
244,proti
245,proti
246,proti
247,proti
248,duh
249,proti
250,duh
251,duh
252,proti
253,duh
254,proti
255,duh
256,proti
257,duh
258,proti
259,duh
260,proti
261,proti
262,duh
263,duh
264,proti
265,proti
266,duh
267,duh
268,duh
269,duh
270,proti
271,duh
272,proti
273,duh
274,duh
275,proti
276,duh
277,duh
278,duh
279,proti
280,proti
281,proti
282,duh
283,proti
284,duh
285,proti
286,proti
287,duh
288,proti
289,proti
290,duh
291,duh
292,proti
293,proti
294,duh
295,duh
296,duh
297,duh
298,proti
299,duh
300,duh
301,proti
302,duh
303,duh
304,proti
